time (s)	paretic Fap (N)	paretic Fvert (N)	paretic CPap (m)	non-paretic Fap (N)	non-paretic Fvert (N)	non-paretic CPap (m)
2.340000	7.526719	467.129364	0.223569	-2.916135	498.454864	0.214197
2.350000	7.548810	467.320099	0.223554	-3.162107	498.449707	0.213613
2.360000	7.645000	467.147614	0.223470	-3.174486	497.792480	0.212905
2.370000	7.526719	467.475769	0.223428	-3.403234	497.528320	0.212211
2.380000	7.976831	466.968597	0.223353	-3.117433	496.562103	0.211258
2.390000	7.630733	467.796234	0.223251	-3.663200	497.176483	0.210388
2.400000	7.811606	467.421783	0.223098	-3.856424	496.659821	0.209205
2.410000	7.735207	467.582336	0.222928	-4.287009	496.933899	0.208165
2.420000	7.471491	467.753143	0.222850	-4.974868	497.445679	0.207070
2.430000	7.442036	467.507080	0.222677	-5.331177	497.659790	0.206191
2.440000	7.232627	467.778748	0.222613	-5.843035	498.344330	0.205717
2.450000	7.384506	466.927490	0.222463	-5.752074	497.780365	0.205510
2.460000	6.902177	467.104370	0.222447	-6.089006	497.611145	0.205734
2.470000	7.146563	466.087036	0.222358	-5.609981	496.162933	0.205957
2.480000	7.250117	465.340088	0.222176	-5.361318	495.067383	0.206300
2.490000	6.876404	464.801575	0.222133	-5.487264	494.224701	0.206747
2.500000	6.991463	463.876312	0.222042	-4.858610	492.903778	0.207102
2.510000	6.821636	463.559448	0.221920	-4.887137	492.579864	0.207511
2.520000	6.836823	462.626831	0.221798	-4.715979	491.388123	0.207798
2.530000	6.506834	463.158417	0.221791	-4.777338	491.828186	0.208215
2.540000	6.562983	462.774017	0.221564	-4.394117	491.415436	0.208322
2.550000	6.499470	462.707001	0.221431	-4.375817	491.449066	0.208343
2.560000	6.440099	463.603302	0.221470	-4.309077	492.117187	0.208323
2.570000	6.608086	463.664520	0.221359	-4.141687	492.504242	0.207998
2.580000	6.779294	464.780334	0.221429	-4.561507	493.648834	0.207525
2.590000	7.156688	464.872589	0.221360	-4.541592	494.160248	0.206914
2.600000	7.208235	466.267609	0.221298	-5.118576	496.037842	0.206218
2.610000	7.510150	466.592102	0.221226	-5.239678	496.335693	0.205450
2.620000	7.660188	467.287048	0.221109	-5.489417	496.767822	0.204709
2.630000	7.493582	468.434540	0.220959	-5.906546	497.740234	0.204018
2.640000	7.634415	468.674896	0.220713	-5.911928	497.603790	0.203252
2.650000	7.501866	469.432312	0.220686	-6.141753	497.879944	0.202606
2.660000	7.691024	468.901733	0.220558	-5.916773	496.947205	0.201726
2.670000	7.449399	469.251221	0.220485	-6.280616	497.109253	0.200910
2.680000	7.565839	468.520538	0.220402	-6.323136	495.788605	0.199907
2.690000	7.612323	467.832428	0.220238	-6.631543	494.756317	0.198803
2.700000	7.268066	467.884430	0.220112	-7.530927	494.704041	0.197814
2.710000	7.393711	467.245911	0.219946	-7.851712	493.839722	0.196930
2.720000	7.070164	467.380219	0.219787	-8.463681	493.550323	0.196309
2.730000	7.060499	466.750763	0.219544	-8.347423	492.749359	0.195857
2.740000	6.856153	467.102020	0.219510	-8.358187	493.210876	0.195820
2.750000	6.914604	466.708313	0.219417	-7.948594	492.526672	0.195609
2.760000	7.005270	466.094330	0.219372	-7.796813	492.008850	0.195428
2.770000	7.011253	466.293182	0.219425	-7.958820	492.843018	0.195218
2.780000	7.191667	465.888367	0.219333	-7.975506	492.622650	0.194806
2.790000	7.087653	466.448090	0.219236	-8.211789	493.282257	0.194440
2.800000	7.312709	466.258820	0.219188	-7.994882	493.192108	0.194018
2.810000	7.083511	467.201141	0.219090	-8.294138	494.306061	0.193556
2.820000	7.152546	467.289124	0.218869	-8.321049	494.354919	0.193057
2.830000	7.282794	467.447083	0.218741	-8.280682	494.087097	0.192545
2.840000	6.944059	468.464417	0.218573	-8.727414	494.835388	0.192150
2.850000	7.041169	468.472626	0.218395	-8.751096	493.948364	0.191708
2.860000	6.949121	469.277313	0.218364	-8.913103	493.687592	0.191461
2.870000	7.165893	468.701904	0.218304	-8.616538	492.641785	0.191060
2.880000	7.190746	469.317902	0.218389	-8.600392	492.392853	0.190847
2.890000	7.557095	469.170044	0.218433	-8.281759	491.736359	0.190390
2.900000	7.912858	468.853821	0.218478	-8.236009	491.735352	0.189744
2.910000	7.961183	469.583588	0.218544	-8.560024	493.181213	0.188957
2.920000	8.182097	469.575134	0.218483	-8.604697	493.543640	0.188066
2.930000	7.996161	470.481812	0.218286	-8.951318	494.822327	0.187068
2.940000	8.064736	470.430969	0.218082	-9.051429	495.039124	0.185832
2.950000	7.849346	471.231171	0.218050	-9.423885	495.915710	0.184597
2.960000	7.879261	471.040436	0.217853	-9.781269	495.718414	0.183100
2.970000	7.847505	470.146393	0.217751	-10.246840	495.185822	0.181389
2.980000	7.748093	470.429810	0.217783	-11.041806	495.542267	0.179788
2.990000	7.847044	469.120728	0.217675	-11.574655	495.328064	0.177966
3.000000	7.699308	468.874176	0.217613	-12.491800	495.863922	0.176541
3.010000	7.711735	467.834412	0.217488	-12.920232	495.260437	0.175191
3.020000	7.377142	467.441589	0.217408	-13.707663	495.342224	0.174103
3.030000	7.258401	466.608612	0.217264	-14.137171	494.260925	0.173211
3.040000	7.404296	465.427765	0.217209	-14.344391	492.987244	0.172557
3.050000	7.024601	465.546143	0.217128	-14.793813	492.802094	0.172189
3.060000	7.170956	464.309296	0.217012	-14.518777	491.789185	0.171787
3.070000	7.067863	464.285095	0.217009	-14.470336	492.044434	0.171590
3.080000	7.055436	463.279694	0.216842	-14.480025	491.971741	0.171288
3.090000	6.839125	463.509460	0.216776	-14.724920	493.030060	0.171171
3.100000	6.859836	463.485657	0.216616	-14.881545	494.178864	0.171121
3.110000	6.864898	463.496002	0.216465	-14.783049	494.865784	0.171153
3.120000	6.522942	464.617371	0.216344	-14.877239	496.399719	0.171449
3.130000	6.794942	464.467468	0.216243	-14.440734	496.590302	0.171734
3.140000	6.705196	465.175201	0.216213	-14.436427	497.538055	0.172155
3.150000	6.834522	465.294708	0.216094	-14.007996	497.597412	0.172520
3.160000	6.776072	466.088654	0.216120	-13.844913	498.560272	0.173034
3.170000	6.852932	466.733246	0.216082	-13.717889	498.639801	0.173532
3.180000	7.001128	466.894379	0.216046	-13.441239	498.339203	0.174104
3.190000	6.948661	468.475281	0.216140	-13.571491	498.915558	0.175026
3.200000	7.167274	468.476135	0.216145	-13.182889	498.130920	0.175879
3.210000	6.989622	469.436188	0.216116	-13.000966	497.794708	0.177160
3.220000	7.076147	469.789093	0.216105	-12.269510	496.304169	0.178458
3.230000	6.927030	470.673676	0.216104	-11.662386	495.307007	0.179940
3.240000	6.703355	471.167786	0.216047	-11.092938	493.836151	0.181389
3.250000	6.842807	471.204071	0.215946	-10.448138	492.077881	0.182872
3.260000	6.407422	472.602783	0.215930	-10.259219	491.636139	0.184584
3.270000	6.490725	472.555542	0.215853	-9.564363	489.737457	0.186119
3.280000	6.357717	473.411987	0.215909	-9.234966	488.932922	0.187829
3.290000	6.385331	473.978363	0.215886	-8.490054	487.276459	0.189497
3.300000	6.214123	475.080811	0.215864	-7.866783	486.476776	0.191317
3.310000	6.166258	475.611725	0.215959	-7.094960	485.689423	0.192928
3.320000	6.294204	476.091095	0.215921	-6.064786	484.262115	0.194334
3.330000	5.972038	477.110962	0.215981	-5.830655	484.356750	0.195594
3.340000	6.159354	477.128052	0.216087	-5.083591	483.036743	0.196515
3.350000	6.060403	477.809601	0.216122	-4.914586	482.762238	0.197250
3.360000	6.176843	477.962250	0.216107	-4.824702	481.825500	0.197673
3.370000	5.959151	478.474182	0.216172	-4.750964	481.622192	0.197867
3.380000	6.094921	479.057953	0.216150	-4.844616	481.264801	0.197781
3.390000	6.117473	478.843781	0.216104	-5.090050	480.710541	0.197423
3.400000	5.853297	479.889038	0.216176	-5.886632	481.692566	0.197125
3.410000	5.966055	479.826874	0.216118	-5.776832	481.363495	0.196634
3.420000	5.834887	480.382812	0.216137	-6.253166	481.713318	0.196212
3.430000	5.979402	480.397644	0.216138	-6.260702	481.498627	0.195834
3.440000	6.012999	480.912079	0.216159	-6.530356	481.410278	0.195442
